v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v99,v100,v101,v102,v103,v104,v105,v106,v107,v115,v116,v117,v118,v120,v121,v122,v123,v125,v126,v127,v128,v129,v130,Alder,alderinterval,recodetalder
2,1,1,2,1,5,4,2,2,2,1,3,2,1,3,5,1,5,2,1,1,2,5,5,5,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,11,11,7,7,7,7,7,7,2,8,2,2,1,3,3,3,3,1,1,1,1,1,2,1,5,1,9,10,10,2,10001,2,2,11,1,1,1,4,1,1,1,10,15,2,1001,11,11,11,10001,11,11,101,11,11,1001,3,1,5,4,3,4,1,8,1,8,5,5,,11,6
1,5,3,4,3,3,4,5,2,2,1,2,2,1,5,5,1,1,1,3,4,1,4,1,1,1,3,3,5,3,3,3,4,2,2,4,3,3,3,4,4,1,3,1,5,1,2,4,2,3,2,1,1,1,3,1,7,7,1,1,7,7,1,3,4,4,1,7,7,7,2,1972,1,11,1,3,1,2,5,1,8,2,20,1,11,37,1,3,11,10001,5,8,1,11,1,37,1,1,5,3,3,4,1,3,2,101,5,9,30,3,2
1,2,5,4,2,1,1,3,1,1,1,2,2,1,5,5,1,2,1,1,1,1,5,11,11,1,11,11,11,11,11,11,11,101,101,3,5,4,4,4,11,11,11,7,7,11,11,11,11,11,8,2,1,1,1,1,1,1,1,3,3,2,1,4,5,2,1,10,8,10,1,1930,1,11,1,2,1,1,7,1,8,2,13,15,1,45,1,3,11,10001,1,9,15,1,3,40,2,1,5,3,3,4,1,8,2,101,4,6,72,7,5
4,4,4,4,4,1,1,3,2,2,1,2,2,2,4,5,1,4,3,1,1,1,5,2,3,1,3,4,2,8,4,4,4,101,101,4,4,4,4,4,3,1,1,7,7,7,7,7,7,3,8,2,2,1,1,1,1,1,1,3,2,2,1,3,2,4,3,5,5,88,1,1938,1,11,1,2,1,1,1,1,9,2,17,13,1,37,2,3,11,10001,3,8,13,1,1,28,1,1,7,5,4,8,1,1,2,101,2,4,64,6,5
1,2,1,3,2,2,2,4,2,2,1,2,2,8,3,3,3,1,1,2,1,1,3,1,1,1,4,3,4,3,4,6,4,8,10,5,4,7,4,4,3,11,11,7,7,7,7,7,7,3,8,3,2,1,7,1,1,1,7,7,7,7,1,3,2,5,3,8,8,10,2,1925,2,1,11,2,1,1,1,1,6,2,101,15,1,40,2,1,11,10001,4,8,15,1,3,888,1,1,7,5,2,2,1,5,1,5,7,9,77,7,5
1,2,4,2,3,2,1,5,2,2,1,2,2,1,5,5,4,2,1,1,3,2,5,1,2,1,3,4,2,3,3,3,5,14,14,3,3,2,3,3,2,4,1,2,2,4,4,4,4,3,3,2,1,1,7,1,1,7,1,2,2,7,1,2,5,4,2,9,0,6,1,1952,1,11,1,3,2,1,4,1,9,2,11,1,11,70,1,3,11,10001,4,7,3,11,1,28,1,1,6,4,2,2,1,6,2,101,9,13,50,5,4
5,1,2,3,1,8,5,1,2,2,3,3,3,1,3,3,1,8,4,3,3,1,8,3,3,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,5,1,7,7,7,7,7,7,2,8,2,2,1,3,3,3,3,1,1,1,1,1,3,3,5,3,8,6,10,2,10001,2,2,11,1,1,1,1,1,1,1,101,15,2,1001,11,11,11,10001,11,11,101,11,11,1001,3,1,3,88,3,2,2,101,2,101,2,2,,11,6
2,4,1,5,5,1,2,5,1,1,1,2,2,1,3,5,3,1,1,1,1,1,5,1,1,1,3,3,4,2,2,3,2,14,5,2,4,4,4,4,6,3,2,3,2,3,3,3,4,2,2,2,1,1,1,2,2,1,1,1,1,1,1,3,2,1,3,10,10,10,2,1950,1,11,1,4,2,1,5,1,5,2,14,1,11,30,2,3,11,10001,6,7,1,11,3,40,1,6,8,3,3,3,1,1,2,101,3,7,52,5,4
1,5,5,3,1,4,5,3,3,3,8,8,8,8,5,5,5,3,1,1,5,8,5,5,5,1,3,5,1,8,3,3,3,88,88,3,5,7,4,4,1,2,1,7,7,7,7,7,7,2,8,3,2,1,1,1,1,1,3,3,3,1,8,8,8,3,5,88,0,88,1,1928,1,11,1,2,1,1,5,1,8,2,15,15,1,55,1,3,11,10001,1,1,15,1,3,37,3,1,5,4,4,2,1,101,2,101,101,101,74,7,5
11,11,11,11,11,11,1,3,2,2,1,3,2,1,3,5,2,2,1,1,2,2,5,2,4,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,2,1,2,1,3,3,3,3,3,3,2,1,2,11,11,11,11,11,11,11,11,1,4,4,3,2,10,10,101,1,1920,11,2,11,101,1,1,1,1,5,2,101,2,11,70,2,4,2,10001,11,11,101,11,11,1001,3,1,5,5,4,8,1,2,1,2,2,2,82,8,5
1,5,5,2,5,1,1,5,3,2,1,2,2,1,5,5,1,2,1,1,2,1,3,1,1,1,3,1,5,1,2,2,1,88,88,3,5,4,4,4,6,5,2,5,1,4,4,4,4,2,2,2,1,1,1,1,1,7,1,1,1,7,1,4,2,5,1,10,10,10,2,1959,1,11,1,4,3,1,3,1,1,2,9,1,11,48,2,1,11,10001,4,4,1,11,3,37,1,6,5,4,3,4,1,1,2,101,88,88,43,4,3
4,2,2,3,2,2,2,3,2,3,1,3,2,1,3,4,3,3,2,2,3,2,4,2,2,1,3,1,1,3,2,3,3,16,16,3,4,4,4,4,3,3,2,7,7,7,7,7,7,2,8,2,2,1,1,1,1,1,3,3,3,1,1,3,2,4,3,9,3,8,1,1933,1,11,1,2,1,1,4,1,7,2,15,15,1,32,2,1,11,10001,4,7,15,1,1,37,1,1,7,4,3,4,1,2,1,2,4,6,69,6,5
1,5,5,5,8,1,1,5,4,3,1,2,1,1,8,5,5,1,1,2,5,1,8,1,1,1,3,4,2,4,4,3,3,10,16,3,5,4,3,4,3,4,2,4,5,3,4,4,4,2,3,2,1,1,1,1,1,7,1,2,1,7,1,1,4,4,2,6,4,9,1,1965,1,11,1,4,3,1,3,1,4,2,13,1,11,40,2,3,11,10001,7,5,12,1,3,37,1,1,7,3,3,3,1,5,2,101,5,8,37,3,2
2,5,5,5,3,1,1,5,3,3,1,2,1,1,5,5,3,1,1,2,1,1,5,1,2,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,3,1,3,1,4,4,4,4,2,4,4,1,2,11,11,11,11,11,11,11,11,1,2,3,3,3,8,5,8,2,1978,5,2,11,2,1,1,5,1,1,1,14,1,11,37,2,3,11,10001,11,11,101,11,11,1001,1,1,8,6,3,3,1,1,2,101,3,5,24,2,1
